id,neighborhood,price,bedrooms,bathrooms,house_size,description
0,Green Oaks,800000,3,2,2000,"Welcome to this eco-friendly oasis nestled in the heart of Green Oaks. This charming 3-bedroom, 2-bathroom home boasts energy-efficient features such as solar panels and a well-insulated structure. Natural light floods the living spaces, highlighting the beautiful hardwood floors and eco-conscious finishes. The open-concept kitchen and dining area lead to a spacious backyard with a vegetable garden, perfect for the eco-conscious family. Embrace sustainable living without compromising on style in this Green Oaks gem."
1,Downtown Loft District,600000,2,1,1500,"Live in the heart of the city in this modern loft located in the Downtown Loft District. This 2-bedroom, 1-bathroom unit features high ceilings, exposed brick walls, and large windows offering stunning city views. The open floor plan includes a sleek kitchen with stainless steel appliances and a spacious living area. Enjoy the convenience of urban living with easy access to restaurants, shops, and public transportation."
2,Suburban Meadows,400000,4,3,2500,"Escape to the tranquility of Suburban Meadows in this spacious 4-bedroom, 3-bathroom home. The property features a large backyard with a deck, perfect for outdoor entertaining. Inside, you'll find a cozy fireplace, updated kitchen, and a master suite with a walk-in closet. Enjoy the peace and quiet of suburban living while still being close to schools, parks, and shopping."
3,Historic District,900000,5,4,3500,"Step back in time in this stunning historic home located in the Historic District. This 5-bedroom, 4-bathroom property features original hardwood floors, crown molding, and a grand staircase. The spacious living areas are perfect for entertaining, while the backyard offers a peaceful retreat with a garden and patio. Embrace the charm and character of this historic gem."
4,Waterfront Estates,1200000,6,5,5000,"Live in luxury in this waterfront estate located in the prestigious Waterfront Estates neighborhood. This 6-bedroom, 5-bathroom home offers panoramic views of the water, a private dock, and a pool with a spa. The interior features high-end finishes, a gourmet kitchen, and a home theater. Enjoy resort-style living in this exclusive waterfront property."
5,Arts District,700000,3,2,1800,"Immerse yourself in the arts in this stylish home located in the vibrant Arts District. This 3-bedroom, 2-bathroom property features an open floor plan, high ceilings, and an art studio. The modern kitchen is perfect for culinary enthusiasts, while the backyard offers a peaceful oasis with a garden and outdoor seating. Embrace creativity and culture in this artistic neighborhood."
6,Mountain View,500000,3,2,2200,"Escape to the mountains in this charming home located in the scenic Mountain View neighborhood. This 3-bedroom, 2-bathroom property features a cozy fireplace, a sunroom with mountain views, and a spacious deck for outdoor living. The tranquil setting is perfect for nature lovers and outdoor enthusiasts looking for a peaceful retreat."
7,Beachfront Paradise,1500000,4,3,3000,"Live the beach life in this stunning beachfront property located in the exclusive Beachfront Paradise neighborhood. This 4-bedroom, 3-bathroom home offers direct beach access, a rooftop deck with ocean views, and a gourmet kitchen. The open floor plan and luxurious finishes make this property perfect for entertaining and relaxing by the sea."
8,Historic Downtown,750000,4,2,2400,"Experience the charm of historic downtown living in this beautifully restored home located in the Historic Downtown neighborhood. This 4-bedroom, 2-bathroom property features original architectural details, a gourmet kitchen, and a private courtyard. The historic character combined with modern amenities makes this property a unique and desirable place to call home."
9,Lakefront Retreat,1000000,5,4,4000,"Escape to the lake in this luxurious retreat located in the serene Lakefront Retreat neighborhood. This 5-bedroom, 4-bathroom home features a private dock, a lakeside deck, and a hot tub. The interior boasts high-end finishes, a wine cellar, and a home gym. Enjoy lakeside living with stunning views and access to water activities."
10,Urban Oasis,650000,3,2,1900,"Discover your own urban oasis in this modern home located in the bustling Urban Oasis neighborhood. This 3-bedroom, 2-bathroom property features a rooftop garden, a gourmet kitchen, and a home office. The open floor plan and sleek design make this property perfect for city living with a touch of nature and tranquility."
